HDR|08|2019
intor00000150815373|ioreg00000150815373|MEMWR|100.0
intor00000156145965|ioreg00000156145965|MNZSF|100.0
intor00000158093330|ioreg00000158093330|MKEPP|100.0
intor00000157299355|ioreg00000157299355|CHIAR|100.0
intor00000155677881|ioreg00000155677881|CLTFD|100.0
intor00000148950721|ioreg00000148950721|AUSYH|100.0
intor00000150455536|ioreg00000150455536|MSYOF|100.0
intor00000154658885|ioreg00000154658885|CVGER|100.0
intor00000154059364|ioreg00000154059364|SPRSH|100.0
intor00000148452007|ioreg00000148452007|MSYSR|50.0
intor00000154240033|ioreg00000154240033|BTMBT|50.0
intor00000153214393|ioreg00000153214393|LEXMS|100.0
intor00000152344128|ioreg00000152344128|FAHAL|100.0
intor00000148310057|ioreg00000148310057|OKCRA|100.0
intor00000148308440|ioreg00000148308440|DTTWB|100.0
intor00000154000022|ioreg00000154000022|MKEHI|100.0
intor00000154586931|ioreg00000154586931|WTVLL|100.0
intor00000157446573|ioreg00000157446573|GDLIT|100.0
intor00000158045332|ioreg00000158045332|SDQIC|30.0
intor00000147551802|ioreg00000147551802|CHORR|50.0
intor00000154922188|ioreg00000154922188|BUFWL|100.0
intor00000157801912|ioreg00000157801912|SYRDW|60.0
intor00000148571509|ioreg00000148571509|SANEX|100.0
intor00000155599566|ioreg00000155599566|VJIAD|100.0
intor00000156764233|ioreg00000156764233|INDFI|60.0
intor00000155598471|ioreg00000155598471|SLWVC|100.0
intor00000151622870|ioreg00000151622870|XLVNF|100.0
intor00000155574633|ioreg00000155574633|MCNNW|100.0
intor00000152765641|ioreg00000152765641|MZTMS|100.0
intor00000156254308|ioreg00000156254308|DFWJC|100.0
intor00000155153549|ioreg00000155153549|CUCCO|100.0
intor00000152941301|ioreg00000152941301|TXKHI|100.0
intor00000156371487|ioreg00000156371487|SEAAB|60.0
intor00000155740503|ioreg00000155740503|GDLVO|100.0
intor00000154168658|ioreg00000154168658|PITNS|100.0
intor00000154240141|ioreg00000154240141|ZYLMB|100.0
intor00000156381336|ioreg00000156381336|YYZEP|30.0
intor00000155027996|ioreg00000155027996|YGKES|150.0
intor00000156392547|ioreg00000156392547|GJTHS|100.0
intor00000156253888|ioreg00000156253888|YQFSB|150.0
intor00000151974281|ioreg00000151974281|HBGMS|100.0
intor00000152521321|ioreg00000152521321|JMBCR|50.0
intor00000154184713|ioreg00000154184713|EKORV|100.0
intor00000148442662|ioreg00000148442662|MDTEB|100.0
intor00000147644885|ioreg00000147644885|ORLCM|100.0
intor00000157426557|ioreg00000157426557|GDLVI|100.0
intor00000158517024|ioreg00000158517024|XVVON|60.0
intor00000153311497|ioreg00000153311497|SPFEZ|100.0
intor00000155850600|ioreg00000155850600|EHPPA|150.0
intor00000155018535|ioreg00000155018535|TRYOH|100.0
intor00000157804088|ioreg00000157804088|MPTPS|100.0
intor00000154352452|ioreg00000154352452|YKDKC|150.0
intor00000153749954|ioreg00000153749954|MCOOS|100.0
intor00000154536141|ioreg00000154536141|DICND|100.0
intor00000155241877|ioreg00000155241877|GRRWK|50.0
intor00000155730272|ioreg00000155730272|AZOPL|100.0
intor00000156379414|ioreg00000156379414|GCMSM|30.0
intor00000154458845|ioreg00000154458845|BTOSC|100.0
intor00000155870625|ioreg00000155870625|INDFH|100.0
intor00000152344158|ioreg00000152344158|ORFWW|100.0
intor00000147088627|ioreg00000147088627|CKVTN|100.0
intor00000153829652|ioreg00000153829652|YHMHA|100.0
intor00000155501333|ioreg00000155501333|LBBHS|100.0
intor00000151895093|ioreg00000151895093|YEGEM|100.0
intor00000158305531|ioreg00000158305531|OEAIN|100.0
intor00000157551095|ioreg00000157551095|FMYCF|50.0
intor00000155889072|ioreg00000155889072|LOVMX|100.0
intor00000153190048|ioreg00000153190048|PHXFF|100.0
intor00000149693983|ioreg00000149693983|PHXEA|100.0
intor00000153978888|ioreg00000153978888|PUELN|100.0
intor00000153852033|ioreg00000153852033|PXCAL|100.0
